epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
120,0.4472,0.8204,0.4575,0.8004,0.7059
121,0.4475,0.8204,0.4573,0.804,0.7128
122,0.4217,0.8204,0.4437,0.8131,0.6888
123,0.4275,0.8156,0.4694,0.7858,0.5725
124,0.4445,0.815,0.4958,0.775,0.5231
125,0.4207,0.8229,0.4584,0.7985,0.6132
126,0.419,0.8247,0.4398,0.8167,0.6949
127,0.4215,0.8259,0.4398,0.8203,0.7062
128,0.4145,0.8235,0.4472,0.8022,0.6379
129,0.4757,0.8114,0.5399,0.7677,0.4797
130,0.4145,0.8241,0.4368,0.824,0.6997
131,0.4779,0.8029,0.4783,0.7967,0.7295
132,0.4365,0.8247,0.4468,0.8167,0.7263
133,0.423,0.815,0.4662,0.7877,0.5683
134,0.4688,0.8102,0.5316,0.7677,0.4754
135,0.4305,0.8168,0.4784,0.7822,0.5455
136,0.4123,0.8307,0.4332,0.8221,0.6975
137,0.5163,0.7703,0.5105,0.7677,0.7156
138,0.4614,0.8065,0.4651,0.8004,0.7277
139,0.4131,0.821,0.452,0.8022,0.6148
140,0.494,0.8102,0.5664,0.7641,0.4492
141,0.4994,0.8096,0.5735,0.7604,0.4359
142,0.4318,0.8168,0.4825,0.7804,0.5364
143,0.408,0.8319,0.4304,0.8221,0.6975
144,0.4238,0.8301,0.4372,0.8203,0.7242
145,0.4139,0.8337,0.4312,0.8276,0.7164
146,0.4058,0.8247,0.442,0.804,0.625
147,0.4264,0.8192,0.4758,0.7786,0.5308
148,0.4096,0.8198,0.4501,0.7949,0.5921
149,0.4039,0.8356,0.4264,0.8221,0.6957
150,0.4215,0.8295,0.4342,0.8258,0.7273
151,0.4072,0.8337,0.4263,0.8258,0.7055
152,0.4105,0.8204,0.453,0.7913,0.5818
153,0.4345,0.812,0.4888,0.7768,0.5138
154,0.4037,0.8235,0.4422,0.804,0.617
155,0.4006,0.8362,0.4237,0.8221,0.6957
156,0.4351,0.8265,0.4434,0.8185,0.7354
157,0.4293,0.8271,0.4393,0.8131,0.7224
158,0.399,0.8362,0.4226,0.8221,0.6957
159,0.4177,0.8222,0.4663,0.7786,0.5344
160,0.4157,0.8204,0.4636,0.7804,0.5434
161,0.3966,0.8271,0.4311,0.8113,0.6486
162,0.4011,0.8368,0.4221,0.8276,0.7095
163,0.4052,0.838,0.4234,0.8294,0.7186
164,0.395,0.8277,0.4295,0.8113,0.6486
165,0.3977,0.8265,0.4359,0.8058,0.6246
166,0.3975,0.8247,0.4361,0.8058,0.6219
167,0.3959,0.8265,0.4334,0.8076,0.6294
168,0.3912,0.8319,0.4204,0.8167,0.6689
169,0.3919,0.8349,0.4174,0.8203,0.6837
170,0.3974,0.8229,0.4375,0.7985,0.5993
171,0.4084,0.8216,0.4553,0.7768,0.5287
172,0.4106,0.8198,0.4586,0.775,0.5156
173,0.3886,0.8356,0.4165,0.8221,0.6733
174,0.432,0.8301,0.439,0.8276,0.7467
175,0.4582,0.8096,0.46,0.8058,0.7371
176,0.3889,0.8398,0.4135,0.8221,0.6839
177,0.4136,0.8186,0.4641,0.7731,0.5098
178,0.4674,0.8071,0.5367,0.7623,0.4426
179,0.4138,0.8186,0.465,0.7731,0.5098
180,0.3947,0.8428,0.4141,0.833,0.716
181,0.4383,0.8204,0.4444,0.8203,0.7442
182,0.3896,0.8392,0.4123,0.824,0.694
183,0.4087,0.821,0.4588,0.7768,0.5287
184,0.4391,0.812,0.5011,0.7713,0.4919
185,0.3883,0.8283,0.4268,0.804,0.6197
186,0.4079,0.8337,0.422,0.8203,0.7211
187,0.4297,0.8253,0.4382,0.824,0.7454
188,0.3836,0.8374,0.4127,0.824,0.6861
189,0.3949,0.8265,0.4395,0.8004,0.6014
190,0.4037,0.8229,0.4532,0.784,0.5509
191,0.3825,0.8295,0.4165,0.8167,0.6599
192,0.384,0.8392,0.409,0.8221,0.6879
193,0.3847,0.8398,0.4085,0.8258,0.6962
194,0.3806,0.8313,0.4131,0.8149,0.6554
195,0.4032,0.8241,0.4532,0.775,0.5231
196,0.4083,0.8192,0.4607,0.775,0.5118
197,0.381,0.8295,0.4169,0.804,0.6197
198,0.3917,0.8446,0.4098,0.8403,0.7317
199,0.4082,0.838,0.4204,0.8348,0.7493
200,0.3784,0.8392,0.4069,0.824,0.682
